Type,Dir,Sx,Az,A,B,AT,BT,H1,MY,MN,R1,INCL,HZ,WZ,H2,R2,KH,UEB,B1,AK1,BW1,AK3,HW2,BHS,BW,BGES,CE,DFA,R1x,R1y,R2x,R2y,Offset,WR2,BRK
s,T,0.0,50.700100,0.000000,1500.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,475.000000,10000.000000,600.000000,0.000000,1375.000000,125.000000,0.000000,125.000000,475.000000,475.000000,1500.000000,3000.000000,0.000000,0.000000,1375.000000,125.000000,-8500.000000,125.000000,86.000000,0.000000,1
s,T,50.0,50.700100,0.000000,1500.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,475.000000,10000.000000,600.000000,0.000000,1375.000000,125.000000,0.000000,125.000000,475.000000,475.000000,1500.000000,3000.000000,0.000000,0.000000,1375.000000,125.000000,-8500.000000,125.000000,86.000000,0.000000,0
s,T,100,50.700100,0.000000,1500.000000,0.000000,0.000000,0.000000,125.000000,125.000000,125.000000,0.000000,0.000000,0.000000,475.000000,10000.000000,600.000000,0.000000,1375.000000,125.000000,0.000000,125.000000,475.000000,475.000000,1500.000000,3000.000000,0.000000,0.000000,1375.000000,125.000000,-8500.000000,125.000000,86.000000,0.000000,0
