Type,Dir,Sx,X1,X2,Y2,X3,Y3,BT,UEB,KH,B1,BH,Rr,CE,Notes
s,T,12.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,13.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,13.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,14.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,14.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,15.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,15.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,16.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,16.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,17.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,17.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,18.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,18.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,19.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,19.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,20.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,20.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,21.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,21.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,22.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,22.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,23.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,23.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
